Id,email,full_name,last_login,phonenumber,university
2c591rs9ibUIWAyU1EhvHh8Dlcc2,ppppp@uncsystem.edu,Pangunuru Venkatesh,1.71074E+12,91826041111,University of North Carolina
HcbixbxBfVSfcohj2lqvRHuJO4l1,char@umsystem.edu,charan,1.71074E+12,4567565656,University of Missouri-Kansas City
I2IxisRfaxTKD2kep2a4dP4xTJ22,danvy@umsystem.edu,danvy,1.71089E+12,9137623564,University of Missouri-Kansas City
I7z6Lci5FqNjKN1CsBMdeNzv1Zk2,udszm@umsystem.edu,Deepak,1.70952E+12,2345656567,University of Missouri-Kansas City
MBhlY6WvOIdFjDnKmNMOtor2kPI3,sndzm@umsystem.edu,Sai Karthik Naladala,1.70985E+12,7834567766,University of Missouri-Kansas City
N96vo3QuBHgalyOSa9ipjP5EuCe2,abcdea@udsystem.edu,Eswar Naidu G,1.70985E+12,9678565622,University of Dallas
QF4VDeXEPEV6a1RAq52lXgAw5iv1,sssss@umsystem.edu,Karthik,1.71074E+12,8797898866,University of Missouri-Kansas City
ScHn8760SYOk8HXYxnlQUGF70Xi1,khan1@umsystem.edu,Kalyan Babu,1.71074E+12,79014523121,University of Missouri-Kansas City
Z6ZdWEvA6lWCN60tSpSQngB3E3f1,sdegd@umsystem.edu,jaya Chandra,1.70989E+12,9845678233,University of Missouri-Kansas City
bXQ1nrBV91Xuok7X7ozBJuEiRnn2,nvr@umsystem.edu,venkateswarlu,1.71074E+12,9949512222,University of Missouri-Kansas City
izQcRNIkGxXagzcU3hgYJoNSgDG3,bala@uncsystem.edu,Bala Chowdappa,1.71074E+12,9398958666,University of North Carolina
nAyqcakmLTNSIO7u1AijBjWXzxF2,anja@uncsystem.edu,Bala Anjaneyulu,1.71074E+12,9010957555,University of North Carolina
oM8qDrlhPrXyae20oeN7iVwUe963,4g2@umsystem.edu,Kundana,1.71074E+12,9154816160,University of Missouri-Kansas City
